iter	Accuracy	Logloss
704	0.8973690448	0.2628395985
705	0.8973690448	0.2627664652
706	0.8976060678	0.26271838
707	0.8976060678	0.2625960074
708	0.8978430908	0.2625098928
709	0.8973690448	0.2623890931
710	0.8973690448	0.2622785329
711	0.8973690448	0.2621352307
712	0.8973690448	0.2620764862
713	0.8973690448	0.2619474872
714	0.8973690448	0.2618931514
715	0.8973690448	0.2618389255
716	0.8973690448	0.261789973
717	0.8973690448	0.2616537792
718	0.8973690448	0.261596891
719	0.8973690448	0.261471788
720	0.8973690448	0.2613965689
721	0.8973690448	0.2613320459
722	0.8976060678	0.2612491224
723	0.8973690448	0.2611307169
724	0.8976060678	0.2610781073
725	0.8976060678	0.2610230785
726	0.8973690448	0.260963768
727	0.8976060678	0.2609133572
728	0.8976060678	0.2608329806
729	0.8976060678	0.2607700763
730	0.8976060678	0.2607018479
731	0.8976060678	0.26059344
732	0.8973690448	0.2604949224
733	0.8978430908	0.2603951949
734	0.8976060678	0.2603483458
735	0.8976060678	0.2602253238
736	0.8976060678	0.2600986959
737	0.8976060678	0.2600500418
738	0.8971320218	0.2599845226
739	0.8973690448	0.2598885059
740	0.8973690448	0.2598413733
741	0.8973690448	0.2597479374
742	0.8973690448	0.2596984206
743	0.8971320218	0.2596225032
744	0.8971320218	0.2595492952
745	0.8971320218	0.2594878545
746	0.8971320218	0.2594365294
747	0.8973690448	0.2593810768
748	0.8971320218	0.2592618834
749	0.8971320218	0.2591871402
750	0.8971320218	0.2590636317
751	0.8971320218	0.2589720312
752	0.8971320218	0.2589184138
753	0.8971320218	0.25880963
754	0.8971320218	0.2586921481
755	0.8971320218	0.2586427744
756	0.8971320218	0.2585828565
757	0.8971320218	0.2585333864
758	0.8973690448	0.2584891284
759	0.8973690448	0.258442021
760	0.8971320218	0.2583261406
761	0.8971320218	0.258279461
762	0.8971320218	0.258221715
763	0.8971320218	0.25817656
764	0.8971320218	0.25813086
765	0.8971320218	0.2580859667
766	0.8971320218	0.2579982091
767	0.8968949988	0.2579365208
768	0.8968949988	0.257884458
769	0.8968949988	0.2577989082
770	0.8968949988	0.2577286463
771	0.8968949988	0.2576849643
772	0.8968949988	0.2576331687
773	0.8968949988	0.2575425022
774	0.8971320218	0.2574925174
775	0.8968949988	0.2574330731
776	0.8968949988	0.2573881075
777	0.8968949988	0.2573230664
778	0.8968949988	0.2572189571
779	0.8968949988	0.2571748957
780	0.8968949988	0.2571299067
781	0.8968949988	0.2570614595
782	0.8968949988	0.256955135
783	0.8971320218	0.2569109204
784	0.8971320218	0.2568423772
785	0.8973690448	0.2567730528
786	0.8976060678	0.2567281162
787	0.8980801138	0.2566467702
788	0.8978430908	0.2565437166
789	0.8976060678	0.2565018765
790	0.8976060678	0.2564333231
791	0.8978430908	0.2563903724
792	0.8978430908	0.2563060008
793	0.8978430908	0.2562551564
794	0.8978430908	0.2561721537
795	0.8978430908	0.2561022256
796	0.8978430908	0.2559906482
797	0.8978430908	0.2559492083
798	0.8978430908	0.2558645156
799	0.8980801138	0.2557692068
800	0.8978430908	0.2557040881
801	0.8978430908	0.2556595942
802	0.8978430908	0.2555476003
803	0.8978430908	0.2555210356
804	0.8980801138	0.2554443043
805	0.8978430908	0.2553352583
806	0.8978430908	0.2552710252
807	0.8978430908	0.2552282707
808	0.8978430908	0.2551634054
809	0.8978430908	0.2551270409
810	0.8980801138	0.2549722576
811	0.8978430908	0.254917975
812	0.8978430908	0.2548050343
813	0.8978430908	0.254743647
814	0.8978430908	0.2546431324
815	0.8978430908	0.2545449262
816	0.8978430908	0.2544870177
817	0.8983171368	0.2544236509
818	0.8983171368	0.2543744846
819	0.8985541598	0.2542082682
820	0.8985541598	0.254161459
821	0.8985541598	0.2541021103
822	0.8985541598	0.2540692976
823	0.8985541598	0.25392402
824	0.8987911827	0.2538271794
825	0.8987911827	0.2537734117
826	0.8987911827	0.2536389547
827	0.8987911827	0.2535865964
828	0.8985541598	0.253516576
829	0.8987911827	0.2534641407
830	0.8985541598	0.2533690954
831	0.8987911827	0.2532784864
832	0.8985541598	0.2532302817
833	0.8987911827	0.2531475806
834	0.8990282057	0.253086391
835	0.8990282057	0.2530160572
836	0.8990282057	0.2529751605
837	0.8990282057	0.2529205291
838	0.8990282057	0.252854797
839	0.8990282057	0.2528162046
840	0.8990282057	0.2527294267
841	0.8990282057	0.2526803482
842	0.8990282057	0.2526338767
843	0.8990282057	0.2525420642
844	0.8987911827	0.2524599367
845	0.8987911827	0.2524151471
846	0.8987911827	0.2523638208
847	0.8987911827	0.2522993356
848	0.8987911827	0.2522353761
849	0.8987911827	0.2521765975
850	0.8985541598	0.2520933148
851	0.8987911827	0.2520352223
852	0.8987911827	0.2519796247
853	0.8987911827	0.251877575
854	0.8987911827	0.2518119869
855	0.8987911827	0.251759762
856	0.8987911827	0.2516822957
857	0.8987911827	0.2515934492
858	0.8987911827	0.2515501506
859	0.8987911827	0.2515087164
860	0.8987911827	0.2514655518
861	0.8987911827	0.2513886039
862	0.8987911827	0.2513374181
863	0.8987911827	0.2513220409
864	0.8987911827	0.2513024804
865	0.8987911827	0.2511812986
866	0.8987911827	0.251112266
867	0.8987911827	0.2510938926
868	0.8990282057	0.2509900416
869	0.8995022517	0.2509149991
870	0.8995022517	0.2508517311
871	0.8995022517	0.2507993725
872	0.8995022517	0.2507578678
873	0.8995022517	0.2506936977
874	0.8995022517	0.2506515675
875	0.8999762977	0.2505652567
876	0.8999762977	0.2505246175
877	0.8999762977	0.2504696249
878	0.8999762977	0.2504307536
879	0.9002133207	0.2503706298
880	0.8997392747	0.2502728139
881	0.9002133207	0.2502144917
